id_campeonato,nombre_campeonato,nombre_torneo
920,Juegos Sudamericanos Escolares 2023,Juegos Sudamericanos Escolares
922,Torneo Ases del Futuro 2023,Torneo Ases del Futuro
923,Torneo San Silvestre 2023,Torneo San Silvestre
924,Cross Country Verano 2023,Asociación Quinta Región
925,Selectivo Cross Country 2024 2023,Región del Bio Bío
926,Selectivo Cross Country 2024 2023,Región de Ñuble
927,Cross Country Verano 2024,Campeonato Nacional
928,Verano 2023,Metropolitano de Cross Country
929,II° Copa Marcha Atlética 2024,Torneo Club Atlético Búfalos de Tarapacá
930,Marzo 2024,Meeting UC
931,2° Marzo 2024,Meeting UC
932,-,
933,2° Agosto 2024,Meeting UC
934,Puente Alto 2024,Todo Competidor AARM
935,Torneo Mario Correa Letelier 2024,Torneo Mario Correa Letelier
936,Todo Competidor 2024,Meeting Club Manquehue
938,Adulto 2024,Campeonato Nacional
939,1° Fecha 2024,Copa Vitacura
940,2° Fecha 2024,Copa Vitacura
941,Rolf Hope 2024,Escolar Atlético Francés
942,Futuro Preparatorio 2024,Futuro Preparatorio
943,Día del Niño 2024,Día del Niño
944,Futuro Final 2024,Futuro Final
945,Atlético Frances 2024,Todo Competidor AARM
946,Carl Strutz 2024,Todo Competidor AARM
947,1° Fecha 2024,Grand Prix de Atletismo Escolar UC
948,2° Fecha 2024,Grand Prix de Atletismo Escolar UC
949,-,
950,4° Fecha 2024,Grand Prix de Atletismo Escolar UC
951,Metropolitano U20 2024,Metropolitano U20
952,1° Fecha 2024,Copa Atletismo Escolar RM
953,2° Fecha 2024,Copa Atletismo Escolar RM
954,3° Fecha 2024,Copa Atletismo Escolar RM
955,4° Fecha 2024,Copa Atletismo Escolar RM
956,5° Fecha 2024,Copa Atletismo Escolar RM
957,6º Fecha 2024,Copa Atletismo Escolar RM
959,U20 2024,Campeonato Nacional
960,-,
961,Carabineros de Chile 2024,Todo Competidor AARM
962,Nicolás Carvajal 2024,Todo Competidor AARM
963,Copa O'Higgins Ejercito 2024,Copa O'Higgins Ejercito
964,Copa Villa María 2024,Copa Villa María
965,2024 2024,Copa San Benito
966,U16-U18 2024,Campeonato Nacional
967,Octagonal Final 2024,Grand Prix de Atletismo Escolar UC
968,Torneo Guillermo García Huidobro 2024,Torneo Guillermo García Huidobro
971,Metropolitano U18 2024,Metropolitano U18
972,New Balance Finals 2024,New Balance Finals
973,Lucy López  2024,Todo Competidor AARM
974,Torneo Stanislav Vozniak 2024,Torneo Stanislav Vozniak
977,Mayo 2024,Meeting Club Manquehue
980,Medio Fondo y Saltos 2024,Región de Los Rios
981,Velocidad y Vallas 2024,Región de Los Rios
982,Lanzamientos 2024,Región de Los Rios
983,Marcha Atlética 2024,Campeonato Nacional
984,Interciudades VIIIº Versión 2024,Torneo Club Atlético Parral
986,Maratón de Houston 2024,Maratón de Houston
987,Torneo Colegio Carampangue 2024,Torneo Colegio Carampangue
988,Copa Instituto Inglés de Rancagua 2024,Copa Instituto Inglés de Rancagua
990,Copa La Cruz 2024,Copa La Cruz
991,Torneo Atlético Raúl Guarda 2024,Torneo Atlético Raúl Guarda
992,Torneo de Verano 2024,Región del Bio Bío
993,Torneo Gregorio Corvalán 2024,Torneo Gregorio Corvalán
994,Torneo Atlético Bio Bio 2024,Torneo Atlético Bio Bio
996,Héctor Constanzo 2024,Región del Bio Bío
998,Torneo Atlético Juan Silva Rodríguez 2024,Torneo Atlético Juan Silva Rodríguez
1000,Torneo Categorías Menores 2024,Región del Bio Bío
1003,Cross Cadecu 2024,Región del Bio Bío
1005,Ñuble 2024,Selectivo Binacionales La Araucanía
1007,Torneo Aniversario Ciudad de Coronel 2024,Torneo Aniversario Ciudad de Coronel
1008,Torneo Graciela Mardones Medina 2024,Torneo Graciela Mardones Medina
1009,Torneo Aniversario Ciudad de Concepción 2024,Torneo Aniversario Ciudad de Concepción
1011,JJ.BB de la Juventud 2024,Control Evaluativo Fedachi
1012,Apertura 2024,Región de La Araucanía
1013,Apertura 2024,Torneo Asoc. Atletismo Curicó
1014,Torneo Aniversario 2024,Torneo Club Atlético Liceo
1015,Glorias del Ejercito 2024,Torneo Club Atlético Liceo
1016,Día del Niño 2024,Torneo Asoc. Atletismo Curicó
1017,4º Meeting Alejandra Ramos 2024,Torneo Asoc. Atletismo Curicó
1024,Lanzamientos 2024,Control Evaluativo Fedachi
1025,Torneo de Verano 2024,Torneo Club Atlético Liceo
1026,Torneo Club Atlético S-2000 2024,Torneo Club Atlético S-2000
1027,Control Apertura Ñuble 2024,Club Atlético Quilamapu
1028,Lanzamientos y 10.000 mts 2024,Asociación Quinta Región
1029,Fondo y Medio Fondo 2024,Asociación Quinta Región
1030,"Velocidad, Saltos y Vallas 2024",Asociación Quinta Región
1031,1º Evaluativo 2024,Región de La Araucanía
1033,Santiago 2024,Grand Prix Internacional
1034,2024,Continental Tour - Bronze
1035,Copa Santa Úrsula 2024,Copa Santa Úrsula
1036,1° Control 2024,Región de Antofagasta
1037,Mixto Final 2024,Escolar Atlético Francés
1038,2º Evaluativo 2024,Región de La Araucanía
1039,Torneo Colegio Puerto Varas 2024,Torneo Colegio Puerto Varas
1041,Media Maratón 2024,Campeonato Nacional
1042,Torneo de Otoño 2024,Torneo Club Atlético Búfalos de Tarapacá
1043,Apertura 1° Etapa 2024,Asociación Quinta Región
1044,Apertura 2° Etapa 2024,Asociación Quinta Región
1045,Invierno 1° Etapa 2024,Asociación Quinta Región
1048,Torneo Club Atlético Valparaíso  2024,Torneo Club Atlético Valparaíso
1050,The Grange School Intercolor 2024,The Grange School Intercolor
1051,Apertura 2024,Torneo Club Sporting Coquimbo
1052,Inaugural 2024,Región de O'Higgins
1053,Copa Internacional Marcha Atlética 2024,Copa Internacional Marcha Atlética
1054,Aniversario 2024,Región de Antofagasta
1055,Glorias Navales 2024,Región de Antofagasta
1056,10° Promesas del Atletismo 2024,Torneo Atlético Real Alemania
1057,2° Control 2024,Región de Antofagasta
1058,Torneo Atlético Perla del Norte 2024,Torneo Atlético Perla del Norte
1059,Torneo de la Amistad (Colegios Regnum Christi) 2024,Torneo de la Amistad (Colegios Regnum Christi)
1060,Evaluativo Marzo 2024,Región de Los Rios
1061,Campeonato de Colores La Maisonnette 2024,Campeonato de Colores La Maisonnette
1062,Apertura 2024,Región de Arica y Parinacota
1063,Apertura 2024,Torneo Club Atlético Parral
1064,Maratón 2024,Campeonato Nacional
1066,2024,Campeonato Atlético Gerardo Manzanares
1067,Preparatorio U20 2024,Región de La Araucanía
1068,Campeonato Atlético Gerardo Manzanares Escolar 2024,Campeonato Atlético Gerardo Manzanares Escolar
1069,Torneo Nido de Aguilas 2024,Torneo Nido de Aguilas
1070,Campeonato Atlético Junior 2024,Campeonato Atlético Junior
1071,Campeonato Atlético Senior 2024,Campeonato Atlético Senior
1072,-,
1073,2° Fecha 2024,Torneo Club Sporting Coquimbo
1074,1° Fecha 2024,Cross Country Escolar UC
1075,2° Torneo 2024,Región de O'Higgins
1076,Clasificatorio U14 y Adaptado 2024,Juegos Deportivos Escolares - Ñuble
1077,-,
1078,Escolar Atlético Quilamapu 2024,Escolar Atlético Quilamapu
1079,Campeonato Lycee Claude Gay 2024,Campeonato Lycee Claude Gay
1080,Festival de Relevos  2024,Festival de Relevos
1081,Todo Competidor 2024,Meeting UC
1082,2° Torneo 2024,Región de Arica y Parinacota
1083,10.000m Planos 2024,Campeonato Nacional
1084,1° Fecha 2024,Torneo Atlético Unlimited
1085,1° Etapa 2024,Fenaude RM
1086,Otoño 2024,Región de La Araucanía
1087,Meeting Atlético Centro Sur 2024,Meeting Atlético Centro Sur
1088,1° Fecha RM 2024,Liga Deportiva de Educación Superior RM
1089,"2° Medio Fondo, Fondo y Saltos 2024",Región de La Araucanía
1090,3° Torneo 2024,Región de O'Higgins
1091,2° Fecha 2024,Liga Escolar Asociación de O'Higgins
1092,Mes del Mar 2024,Región de Tarapacá
1093,Comunal  2024,Juegos Deportivos Escolares - Maule
1094,Campeonato Atlético Bajo Molle 2024,Campeonato Atlético Bajo Molle
1095,Festival de Lanzamientos 2024,Región de Atacama
1096,Invierno y 10.000 mts 2024,Región de La Araucanía
1097,Invierno 2° Etapa 2024,Asociación Quinta Región
1099,Torneo Regional 2024,Asociación Quinta Región
1100,Torneo Clausura 2024,Asociación Quinta Región
1101,2° Fecha 2024,Torneo Atlético Unlimited
1102,Inaugural 2024,Torneo Club Atlético Formativo
1103,Mayo 2024,Región de Arica y Parinacota
1104,Cross Country 1° Fecha 2024,Región de La Araucanía
1105,Cross Country 2° Fecha 2024,Región de La Araucanía
1106,Cross Country 3° Fecha 2024,Región de La Araucanía
1107,Mayo 2024,Meeting UC
1108,Regional U14 y Juvenil 2024,Juegos Deportivos Escolares - RM
1109,Adaptado 2024,Juegos Deportivos Escolares - RM
1116,1° Fecha 2024,Juegos Olimipicos Estudiantiles
